"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210101 ~ 20210331"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 구로구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 구로구 개봉동","472","0472","0000","두산","59.69","202103","5","59,000","21","1997","남부순환로95길 88",""
"서울특별시 구로구 개봉동","472","0472","0000","두산","59.69","202103","6","60,000","13","1997","남부순환로95길 88",""
"서울특별시 구로구 개봉동","472","0472","0000","두산","111.69","202103","18","72,000","16","1997","남부순환로95길 88",""
"서울특별시 구로구 개봉동","471","0471","0000","삼호","84.88","202102","9","70,500","5","1996","남부순환로95길 16",""
"서울특별시 구로구 개봉동","471","0471","0000","삼호","84.88","202103","1","71,500","18","1996","남부순환로95길 16",""
"서울특별시 구로구 개봉동","471","0471","0000","삼호","84.88","202103","6","66,650","14","1996","남부순환로95길 16",""
"서울특별시 구로구 개봉동","470","0470","0000","삼환","59.4","202101","2","56,000","9","1995","남부순환로95길 54",""
"서울특별시 구로구 개봉동","470","0470","0000","삼환","59.4","202101","4","58,500","20","1995","남부순환로95길 54",""
"서울특별시 구로구 개봉동","470","0470","0000","삼환","59.4","202101","10","59,000","4","1995","남부순환로95길 54",""
"서울특별시 구로구 개봉동","470","0470","0000","삼환","84.945","202101","16","67,000","4","1995","남부순환로95길 54",""
"서울특별시 구로구 개봉동","470","0470","0000","삼환","59.4","202101","17","60,000","17","1995","남부순환로95길 54",""
"서울특별시 구로구 개봉동","470","0470","0000","삼환","114.48","202102","27","79,500","20","1995","남부순환로95길 54",""
"서울특별시 구로구 개봉동","470","0470","0000","삼환","114.48","202103","1","76,000","15","1995","남부순환로95길 54",""
"서울특별시 구로구 개봉동","473","0473","0000","상우","96.3","202102","20","63,800","2","1997","남부순환로97길 50",""
"서울특별시 구로구 개봉동","473","0473","0000","상우","96.3","202103","28","67,000","23","1997","남부순환로97길 50",""
"서울특별시 구로구 개봉동","63-15","0063","0015","수영힐(나동)","76.58","202103","6","35,000","2","2005","고척로 95-6",""
"서울특별시 구로구 개봉동","170-30","0170","0030","신개봉삼환","59.81","202101","19","50,700","4","2001","경인로38길 13",""
"서울특별시 구로구 개봉동","170-30","0170","0030","신개봉삼환","59.81","202102","20","51,000","1","2001","경인로38길 13",""
"서울특별시 구로구 개봉동","170-30","0170","0030","신개봉삼환","84.99","202103","2","70,000","17","2001","경인로38길 13",""
"서울특별시 구로구 개봉동","488","0488","0000","영화아이닉스","84.98","202101","4","67,000","9","2005","개봉로1길 188",""
"서울특별시 구로구 개봉동","488","0488","0000","영화아이닉스","84.98","202103","9","62,000","11","2005","개봉로1길 188",""
"서울특별시 구로구 개봉동","488","0488","0000","영화아이닉스","65.71","202103","10","57,800","9","2005","개봉로1길 188",""
"서울특별시 구로구 개봉동","483","0483","0000","율포그레이스빌","70.31","202102","2","44,500","1","2002","남부순환로95길 42-15",""
"서울특별시 구로구 개봉동","20-1","0020","0001","창동","46.08","202103","23","26,000","5","1987","고척로21나길 48-68",""
"서울특별시 구로구 개봉동","175-8","0175","0008","청실","64.56","202103","1","52,900","12","1987","경인로40길 25",""
"서울특별시 구로구 개봉동","367-2","0367","0002","태경하이빌","82.31","202101","28","40,300","6","2004","개봉로1길 46",""
"서울특별시 구로구 개봉동","367-2","0367","0002","태경하이빌","82.31","202102","17","40,450","5","2004","개봉로1길 46",""
"서울특별시 구로구 개봉동","476","0476","0000","한마을","149.97","202101","8","104,500","18","1999","경인로 382",""
"서울특별시 구로구 개봉동","476","0476","0000","한마을","123.46","202101","16","99,000","6","1999","경인로 382",""
"서울특별시 구로구 개봉동","476","0476","0000","한마을","84.57","202101","18","90,500","20","1999","경인로 382",""
"서울특별시 구로구 개봉동","476","0476","0000","한마을","59.57","202101","19","70,000","3","1999","경인로 382",""
"서울특별시 구로구 개봉동","476","0476","0000","한마을","84.57","202101","22","87,000","16","1999","경인로 382",""
"서울특별시 구로구 개봉동","476","0476","0000","한마을","149.97","202101","25","100,000","3","1999","경인로 382",""
"서울특별시 구로구 개봉동","476","0476","0000","한마을","84.57","202102","1","89,000","15","1999","경인로 382",""
"서울특별시 구로구 개봉동","476","0476","0000","한마을","59.57","202102","5","66,000","5","1999","경인로 382",""
