망미역,부산광역시 수영구 연수로 지하 337,,,,,,,,,,,,,
수영역(3호선),부산광역시 수영구 수영로 지하 677,,,,,,,,,,,,,
양산역,경상남도 양산시 강변로 441,,,,,,,,,,,,,
남양산역,경상남도 양산시 동면 메기로 380,,,,,,,,,,,,,
부산대양산캠퍼스역,경상남도 양산시 물금읍 메기로 270,,,,,,,,,,,,,
증산역,경상남도 양산시 물금읍 메기로 168,,,,,,,,,,,,,
호포역,경상남도 양산시 동면 양산대로 62,,,,,,,,,,,,,
금곡역,부산광역시 북구 금곡대로 685,,,,,,,,,,,,,
동원역,부산광역시 북구 금곡대로 575,,,,,,,,,,,,,
율리역,부산광역시 북구 금곡대로 지하 440,,,,,,,,,,,,,
화명역,부산광역시 북구 금곡대로 지하 311,,,,,,,,,,,,,
수정역,부산광역시 북구 금곡대로 지하 160,,,,,,,,,,,,,
덕천역(2호선),부산광역시 북구 금곡대로 지하 14,,,,,,,,,,,,,
구명역,부산광역시 북구 백양대로 지하 1094,,,,,,,,,,,,,
구남역,부산광역시 북구 백양대로 지하 1026,,,,,,,,,,,,,
모라역,부산광역시 사상구 사상로 지하 498,,,,,,,,,,,,,
모덕역,부산광역시 사상구 사상로 지하 409,,,,,,,,,,,,,
덕포역,부산광역시 사상구 사상로 지하 320-1,,,,,,,,,,,,,
사상역,부산광역시 사상구 사상로 지하 203,,,,,,,,,,,,,
감전역,부산광역시 사상구 사상로 지하 93-1,,,,,,,,,,,,,
주례역,부산광역시 사상구 가야대로 지하 292,,,,,,,,,,,,,
냉정역,부산광역시 사상구 가야대로 지하 362-1,,,,,,,,,,,,,
개금역,부산광역시 부산진구 가야대로 지하 442,,,,,,,,,,,,,
동의대역,부산광역시 부산진구 가야대로 지하 554,,,,,,,,,,,,,
가야역,부산광역시 부산진구 가야대로 지하 650,,,,,,,,,,,,,
부암역,부산광역시 부산진구 가야대로 지하 719,,,,,,,,,,,,,
서면역(2호선),부산광역시 부산진구 중앙대로 지하 730,,,,,,,,,,,,,
전포역,부산광역시 부산진구 전포대로 지하 181,,,,,,,,,,,,,
국제금융센터부산은행역,부산광역시 남구 전포대로 지하 97,,,,,,,,,,,,,
문현역,부산광역시 남구 전포대로 지하 17,,,,,,,,,,,,,
지게골역,부산광역시 남구 수영로 지하 70,,,,,,,,,,,,,
못골역,부산광역시 남구 수영로 지하 170,,,,,,,,,,,,,
대연역,부산광역시 남구 수영로 지하 242,,,,,,,,,,,,,
경성대부경대역,부산광역시 남구 수영로 지하 324,,,,,,,,,,,,,
남천역,부산광역시 수영구 수영로 지하 410,,,,,,,,,,,,,
금련산역,부산광역시 수영구 수영로 지하 482,,,,,,,,,,,,,
광안역,부산광역시 수영구 수영로 지하 576,,,,,,,,,,,,,
수영역,부산광역시 수영구 수영로 지하 677,,,,,,,,,,,,,
민락역,부산광역시 수영구 수영로 지하 769,,,,,,,,,,,,,
센텀시티역,부산광역시 해운대구 센텀남대로 지하 76,,,,,,,,,,,,,
시립미술관역,부산광역시 해운대구 해운대로 지하 396,,,,,,,,,,,,,
동백역,부산광역시 해운대구 해운대로 지하 522,,,,,,,,,,,,,
해운대역,부산광역시 해운대구 해운대로 지하 626,,,,,,,,,,,,,
중동역,부산광역시 해운대구 해운대로 지하 730,,,,,,,,,,,,,
장산역,부산광역시 해운대구 해운대로 지하 820,,,,,,,,,,,,,
노포역,부산광역시 금정구 중앙대로 2238,,,,,,,,,,,,,
범어사역,부산광역시 금정구 중앙대로 지하 2107,,,,,,,,,,,,,
남산역,부산광역시 금정구 중앙대로 지하 2019-1,,,,,,,,,,,,,
두실역,부산광역시 금정구 중앙대로 지하 1927-1,,,,,,,,,,,,,
구서역,부산광역시 금정구 금정로 233번길 46,,,,,,,,,,,,,
장전역,부산광역시 금정구 장전온천천로 144,,,,,,,,,,,,,
부산대역,부산광역시 금정구 장전온천천로 48,,,,,,,,,,,,,
온천장역,부산광역시 동래구 중앙대로 1520,,,,,,,,,,,,,
명륜역,부산광역시 동래구 중앙대로 1414,,,,,,,,,,,,,
동래역,부산광역시 동래구 중앙대로 1324,,,,,,,,,,,,,
교대역,부산광역시 연제구 중앙대로 지하 1217,,,,,,,,,,,,,
연산역,부산광역시 연제구 중앙대로 지하 1101,,,,,,,,,,,,,
시청역,부산광역시 연제구 중앙대로 지하 1017,,,,,,,,,,,,,
양정역,부산광역시 부산진구 중앙대로 지하 930,,,,,,,,,,,,,
부전역,부산광역시 부산진구 중앙대로 지하 786,,,,,,,,,,,,,
서면역(1호선),부산광역시 부산진구 중앙대로 지하 730,,,,,,,,,,,,,
범내골역,부산광역시 부산진구 중앙대로 지하 612,,,,,,,,,,,,,
범일역,부산광역시 동구 범일로 지하 108,,,,,,,,,,,,,
좌천역,부산광역시 동구 중앙대로 지하 446,,,,,,,,,,,,,
부산진역,부산광역시 동구 중앙대로 지하 350,,,,,,,,,,,,,
초량역,부산광역시 동구 중앙대로 지하 264,,,,,,,,,,,,,
부산역,부산광역시 동구 중앙대로 지하 200,,,,,,,,,,,,,
중앙역,부산광역시 중구 중앙대로 지하 83,,,,,,,,,,,,,
남포역,부산광역시 중구 구덕로 지하 12,,,,,,,,,,,,,
자갈치역,부산광역시 중구 구덕로 지하 80,,,,,,,,,,,,,
토성역,부산광역시 서구 구덕로 지하 170,,,,,,,,,,,,,
동대신역,부산광역시 서구 구덕로 지하 290,,,,,,,,,,,,,
서대신역,부산광역시 서구 대영로 지하 1,,,,,,,,,,,,,
대티역,부산광역시 사하구 낙동대로 지하 141,,,,,,,,,,,,,
괴정역,부산광역시 사하구 낙동대로 지하 221,,,,,,,,,,,,,
사하역,부산광역시 사하구 낙동대로 지하 309,,,,,,,,,,,,,
당리역,부산광역시 사하구 낙동대로 지하 405,,,,,,,,,,,,,
하단역,부산광역시 사하구 낙동남로 지하 1415,,,,,,,,,,,,,
신평역,부산광역시 사하구 하신번영로 140,,,,,,,,,,,,,
동매역,부산광역시 사하구 신산로 지하 168,,,,,,,,,,,,,
장림역,부산광역시 사하구 다대로 지하 230,,,,,,,,,,,,,
신장림역,부산광역시 사하구 다대로 지하 310,,,,,,,,,,,,,
낫개역,부산광역시 사하구 다대로 지하 422,,,,,,,,,,,,,
다대포항역,부산광역시 사하구 다대로 지하 548,,,,,,,,,,,,,
다대포해수욕장,부산광역시 사하구 다대로 지하 692,,,,,,,,,,,,,
부산원동역,부산시 동래구 안락동 52-2,,,,,,,,,,,,,
임진강역,경기도 파주시 문산읍 임진각로 115(문산읍),,,,,,,,,,,,,
서울역(경의선),서울시 용산구 한강대로 405,,,,,,,,,,,,,
신촌역,서울특별시 서대문구 대현동 74-12,,,,,,,,,,,,,
가좌역,서울시 서대문구 수색로 27(남가좌동),,,,,,,,,,,,,
효창공원앞역,서울시 용산구 용문동 5-133,,,,,,,,,,,,,
공덕역,서울시 마포구 공덕동 마포대로 자하100,,,,,,,,,,,,,
서강대역,서울시 마포구 서강로 지하118,,,,,,,,,,,,,
홍대입구역,서울시 마포구 양화로 지하 188,,,,,,,,,,,,,
디지털미디어시티역,서울시 은평구 수색로 193(수색동 37-2),,,,,,,,,,,,,
수색역,서울시 은평구 수색로 261-1,,,,,,,,,,,,,
화전역,경기도 고양시 덕양구 화랑로 53(화전동 183-10),,,,,,,,,,,,,
강매역,경기도 고양시 덕양구 행신동 108-5,,,,,,,,,,,,,
행신역,경기도 고양시 덕양구 행신동 충경로 124번지(행신2동 812),,,,,,,,,,,,,
능곡역,경기도 고양시 덕양구 토당로 35(토당동 454-3),,,,,,,,,,,,,
곡산역,경기도 고양시 일산동구 경의로 160(백석동),,,,,,,,,,,,,
백마역,경기도 고양시 일산동구 경의로 318(풍동 482-8),,,,,,,,,,,,,
풍산역,경기도 고양시 일산동구 경의로 486(풍동),,,,,,,,,,,,,
일산역,경기도 고양시 일산서구 경의로 672,,,,,,,,,,,,,
탄현역,경기도 고양시 일산서구 경의로 856(덕이동),,,,,,,,,,,,,
야당역,경기도 파주시 야당동 836번지,,,,,,,,,,,,,
왕십리역,서울시 성동구 왕십리 광장로 17(행당동),,,,,,,,,,,,,
청량리역,서울시 동대문구 왕산로 214,,,,,,,,,,,,,
회기역,서울시 동대문구 회기로196(휘경동 317-101),,,,,,,,,,,,,
외대앞역,서울시 동대문구 휘경로 27(이문동 360-5),,,,,,,,,,,,,
신이문역,서울시 동대문구 한천로 472(이문로 7),,,,,,,,,,,,,
석계역,서울시 노원구 화랑로 314(월계동 36-4),,,,,,,,,,,,,
광운대역,서울시 노원구 석계로 98-2(광운대역),,,,,,,,,,,,,
월계역,서울시 노원구 월계로 53길 40(월계2동 261),,,,,,,,,,,,,
녹천역,서울시 도봉구 덕릉로 376(창동),,,,,,,,,,,,,
창동역,서울시 도봉구 마들로 11길 77(창1동 135-86),,,,,,,,,,,,,
방학역,서울시 도봉구 도봉로 150다길 3,,,,,,,,,,,,,
도봉역,서울시 도봉구 도봉로 170길 2,,,,,,,,,,,,,
도봉산역,서울시 도봉구 도봉로 964-33,,,,,,,,,,,,,
망월사역,경기도 의정부시 회룡로 111(호원동),,,,,,,,,,,,,
회룡역,경기도 의정부시 평화로 363,,,,,,,,,,,,,
의정부역,경기도 의정부시 평화로 525,,,,,,,,,,,,,
가능역,경기도 의정부시 평화로 633,,,,,,,,,,,,,
녹양역,경기도 의정부시 평화로 757(녹양동 973),,,,,,,,,,,,,
양주역,경기도 양주시 평화로 919(남방동 94-1),,,,,,,,,,,,,
덕계역,경기도 양주시 고덕로 139번길 317번지,,,,,,,,,,,,,
덕정역,경기도 양주시 화합로 1356,,,,,,,,,,,,,
지행역,경기도 동두천시 평화로 2285(지행동),,,,,,,,,,,,,
